City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
São Filipe,0,CV,1583805467,79,14.9,-24.5,70.54,6.69
Ketchikan,90,US,1583805746,93,55.34,-131.65,37.4,28.86
Tauá,100,BR,1583805747,94,-5.97,-40.3,71.35,2.35
Omboué,99,GA,1583805748,94,-1.57,9.26,76.48,1.19
Talara,18,PE,1583805491,89,-4.58,-81.27,77.11,7.0
East Hemet,75,US,1583805751,34,33.74,-116.94,71.6,18.34
Hurricane,20,US,1583805752,42,37.18,-113.29,63.0,9.17
Caldwell,90,US,1583805753,59,43.66,-116.69,51.8,4.7
Provideniya,25,RU,1583805754,77,64.38,-173.3,5.0,4.47
Sioux Lookout,20,CA,1583805755,61,50.1,-91.92,19.4,2.24
Yulara,0,AU,1583805756,13,-25.24,130.99,87.8,11.41
Bandarbeyla,0,SO,1583805757,73,9.49,50.81,76.82,14.74
Óbidos,100,BR,1583805759,88,-1.92,-55.52,76.32,6.2
Kuytun,100,RU,1583805760,79,54.34,101.5,26.01,10.89
Port Huron,90,US,1583805761,71,42.97,-82.42,55.99,9.17
Geraldton,0,AU,1583805762,21,-28.77,114.6,95.0,17.22
Berdigestyakh,100,RU,1583805763,90,62.1,126.7,11.5,0.36
Pontian Kecil,75,MY,1583805764,74,1.48,103.39,84.2,4.7
Barzas,90,RU,1583805766,85,55.72,86.32,23.0,13.42
Faya,0,SA,1583805767,27,18.39,42.45,55.4,1.79
Nome,1,US,1583805768,64,64.5,-165.41,0.0,2.15
Shebunino,100,RU,1583805769,86,46.43,141.86,35.38,3.4
Pedasí,38,PA,1583805770,78,7.53,-80.03,77.2,21.83
Haines Junction,82,CA,1583805725,98,60.75,-137.51,13.59,4.52
Álamos,100,MX,1583805772,65,27.02,-108.93,75.0,1.01
Mehamn,67,NO,1583805498,85,71.04,27.85,31.6,13.02
Dossor,76,KZ,1583805775,44,47.53,52.98,38.05,9.22
Belaya Gora,27,RU,1583805776,89,68.53,146.42,-16.73,4.56
Hong Kong,20,HK,1583805594,56,22.29,114.16,75.0,13.87
Bac Lieu,0,VN,1583805770,41,9.29,105.72,92.59,5.17
Skjervøy,100,NO,1583805779,92,70.03,20.97,36.05,32.03
Sambava,97,MG,1583805780,96,-14.27,50.17,72.77,2.01
Severnyy,99,RU,1583805506,66,50.68,36.55,51.8,11.18
La Ronge,5,CA,1583805783,64,55.1,-105.28,-2.2,3.36
Bagdarin,100,RU,1583805784,68,54.43,113.6,14.49,4.25
Chapais,90,CA,1583805785,85,49.78,-74.85,12.2,11.41
Westport,1,US,1583805786,66,41.14,-73.36,63.0,6.93
Livingstonia,100,MW,1583805787,92,-10.61,34.11,58.08,2.59
Fort Nelson,75,CA,1583805608,29,58.81,-122.7,39.2,4.7
Tortolì,20,IT,1583805789,81,39.93,9.66,51.8,25.28
Mossamedes,43,AO,1583805791,86,-15.2,12.15,77.5,3.78
Vao,0,NC,1583805792,69,-22.67,167.48,80.35,11.36
Fortuna,1,US,1583805668,71,40.6,-124.16,55.99,11.41
Rāvar,0,IR,1583805794,24,31.27,56.81,41.16,11.86
Presidente Dutra,100,BR,1583805795,98,-5.29,-44.49,71.89,1.92
Alyangula,90,AU,1583805796,79,-13.85,136.42,86.0,8.05
Praia,0,CV,1583805518,53,14.92,-23.51,71.6,6.93
Kasungu,100,MW,1583805799,98,-13.03,33.48,62.26,2.13
Kristinestad,86,FI,1583805691,93,62.27,21.38,34.9,7.34
Camas,0,ES,1583805629,51,37.4,-6.03,59.0,3.36
Portland,1,US,1583805750,46,45.52,-122.68,55.4,1.95
Gushikawa,75,JP,1583805803,73,26.35,127.87,69.8,17.22
Port-Gentil,69,GA,1583805804,82,-0.72,8.78,82.51,10.09
Malaya Vishera,100,RU,1583805805,94,58.85,32.22,35.47,4.56
Tlaxco,40,MX,1583805806,26,19.62,-98.12,69.8,12.75
Tilichiki,99,RU,1583805808,90,60.47,166.1,8.76,7.52
Safi,0,MA,1583805809,64,32.3,-9.24,50.61,11.07
Tazovsky,62,RU,1583805810,90,67.47,78.7,-8.81,14.56
Beaupré,90,CA,1583805811,79,47.04,-70.9,21.99,20.8
Andapa,100,MG,1583805812,96,-14.65,49.65,68.14,2.82
Goderich,100,CA,1583805813,84,43.75,-81.72,53.01,18.9
Beringovskiy,99,RU,1583805815,92,63.05,179.32,5.49,7.87
Makakilo City,90,US,1583805535,77,21.35,-158.09,78.8,8.05
Santiago del Estero,53,AR,1583805817,36,-27.8,-64.26,84.56,9.13
El Alto,21,PE,1583805818,71,-4.27,-81.21,76.26,4.79
Codrington,0,AU,1583805775,74,-38.27,141.97,60.26,15.61
Chudniv,99,UA,1583805820,95,50.05,28.12,40.17,5.59
Northam,100,GB,1583805821,100,51.03,-4.22,54.0,14.0
Port Hawkesbury,90,CA,1583805823,62,45.62,-61.35,26.01,4.7
Bathsheba,75,BB,1583805824,83,13.22,-59.52,75.2,20.8
Husavik,90,IS,1583805825,92,66.04,-17.34,23.0,8.05
Dhārchula,0,IN,1583805826,25,29.85,80.53,43.75,4.5
Garden City,90,US,1583805798,66,42.33,-83.33,57.99,11.41
Necochea,100,AR,1583805648,88,-38.55,-58.74,55.0,8.52
Duki,89,PK,1583805829,45,30.15,68.57,55.33,2.8
Todos Santos,90,MX,1583805831,34,23.45,-110.22,80.01,14.99
Ulm,20,DE,1583805832,80,48.4,9.99,39.99,5.82
Hobyo,45,SO,1583805833,78,5.35,48.53,75.18,11.01
Berlevåg,57,NO,1583805834,76,70.86,29.09,36.79,20.87
Amahai,100,ID,1583805559,72,-3.33,128.92,83.3,2.51
Cherskiy,100,RU,1583805836,94,68.75,161.3,-4.72,5.77
Ulladulla,75,AU,1583805837,60,-35.35,150.47,71.6,12.75
Airai,100,TL,1583805838,86,-8.93,125.41,76.23,2.71
Tateyama,90,JP,1583805703,100,34.98,139.87,59.0,2.24
Hamilton,40,US,1583805781,48,39.18,-84.53,62.6,16.11
Ojinaga,1,MX,1583805842,35,29.57,-104.42,73.4,5.5
Mastic Beach,1,US,1583805843,66,40.77,-72.85,53.01,6.93
Wau,39,SS,1583805844,51,7.7,28.0,75.56,2.48
Valley City,90,US,1583805845,92,46.92,-98.0,21.2,1.57
Port Macquarie,40,AU,1583805846,100,-31.43,152.92,69.01,8.05
Beitbridge,0,ZW,1583805847,79,-22.22,30.0,67.33,11.88
Senneterre,90,CA,1583805849,100,48.38,-77.23,26.6,4.7
Sanandij,62,IR,1583805850,36,35.31,46.99,34.32,2.48
Balkanabat,0,TM,1583805851,21,39.51,54.37,40.8,9.69
Pemangkat,0,ID,1583805852,60,1.17,108.97,86.29,2.08
Halifax,90,CA,1583805582,86,44.65,-63.57,32.0,8.05
Praia da Vitória,40,PT,1583805854,67,38.73,-27.07,62.6,23.6
Yichang,90,CN,1583805856,49,30.71,111.28,58.51,3.96
Cotacachi,40,EC,1583805857,93,0.3,-78.27,59.0,5.82
Inuvik,90,CA,1583805858,69,68.35,-133.72,-11.2,8.05
Batemans Bay,86,AU,1583805859,68,-35.72,150.18,71.01,7.0
Thompson,20,CA,1583805860,76,55.74,-97.86,-7.6,4.7
Laas,41,IT,1583805861,92,46.62,10.7,28.4,3.36
Ekhabi,0,RU,1583805862,81,53.51,142.97,18.68,8.84
Al Bardīyah,0,LY,1583805864,71,31.76,25.09,57.18,8.1
Shepsi,100,RU,1583805865,65,44.04,39.15,56.03,9.55
Saint-Leu,54,RE,1583805866,88,-21.15,55.28,78.8,25.28
Inza,85,RU,1583805867,98,53.85,46.36,36.3,3.29
Kropotkin,100,RU,1583805868,68,45.44,40.58,49.66,12.06
Bulnes,0,CL,1583805869,27,-36.74,-72.3,73.4,4.7
Saint-Augustin,0,CA,1583805870,81,51.23,-58.65,1.45,22.37
Concordia,0,AR,1583805872,62,-31.39,-58.02,79.0,12.28
Arauca,91,CO,1583805783,56,7.08,-70.76,78.75,3.83
